"","name","job","phone_number","fcg","adm1name","lat","long"
"1","Dr. Randy Pfannerstill V","Environmental consultant","238-806-6174x569","poor","North",33.27,-127.19
"2","Jarrad Olson-Stracke","Photographer","1-916-904-8331x54314","borderline","Mountain",47.07,-149.35
"3","Emogene Goodwin","English as a foreign language teacher","08030585426","acceptable","Isles",-66.63,154.63
"4","Bascom Koch","Retail manager","1-527-985-8556x476","poor","Rock",89.72,93.76
"5","Kadence Mayert","Airline pilot","670-197-6889x49462","borderline","Stormlands",-75.95,-176.46
"6","Adrain Stehr-Williamson","Development worker, community","(115)489-6918x03271","acceptable","Dorne",55.17,-96.63
"7","Dr. Rosaria Homenick","Armed forces training and education officer","287.125.5740x12579","poor","North",9.39,16.62
"8","Anne Friesen","Theatre manager","1-793-807-1878x765","borderline","Mountain",28.02,1
"9","Hans Schowalter","Retail manager","1-733-560-3573x622","acceptable","Isles",60.7,-102.95
"10","Dayton Weissnat MD","Diagnostic radiographer","913-450-1513","poor","Rock",32.25,-148.02
"11","Sheldon Barton","Acupuncturist","238.903.0413","borderline","Stormlands",24.58,133.37
"12","Ms. Elvera White PhD","Statistician","(733)419-5323x056","acceptable","Dorne",-84.61,156.82
"13","Julius Glover III","Mining engineer","414.715.2448","poor","North",-43.15,-151.12
"14","Kathy Robel","Designer, industrial/product","+89(4)0007895540","borderline","Mountain",-78.52,17.65
"15","Asbury Ullrich","Theatre manager","+81(9)6092142947","acceptable","Isles",-48.04,-57.09
"16","Liana Kuvalis","Geoscientist","06127472506","poor","Rock",-42.59,167.25
"17","Icey Eichmann DDS","Trading standards officer","08052076589","borderline","Stormlands",-30.89,10.51
"18","Essa Hyatt-Smith","Art therapist","160-539-8365x5524","acceptable","Dorne",64.56,-15.77
"19","Nathaniel D'Amore","Community arts worker","1-919-884-9994x3879","poor","North",-49.74,-91.38
"20","Jeremey Abbott","Technical brewer","853.542.3054x9942","borderline","Mountain",-45.91,-126.16
"21","Dr. Americo Eichmann MD","Illustrator","105.166.4769","acceptable","Isles",-77.74,-48.87
"22","Sammy Dooley","Product/process development scientist","923-731-5342x88293","poor","Rock",15.69,52.92
"23","Mrs. Vickie Mertz","Company secretary","+63(5)8490166990","borderline","Stormlands",27.4,20.01
"24","Nicolas Renner","Therapist, drama","+01(2)0448886156","acceptable","Dorne",1.02,72.73
"25","Oneida Padberg-Dare","Press sub","421-433-5094x5545","poor","North",-18.35,73.41
"26","Chloe Predovic","Equality and diversity officer","131-071-6408","borderline","Mountain",28.11,145.85
"27","Nakia Beier DDS","Musician","+63(9)5963096322","acceptable","Isles",37.89,-122.81
"28","Brant Kihn","Public house manager","06500396029","poor","Rock",-72.86,-9.91
"29","Mr. Parley Tillman","Public affairs consultant","187.343.5868x2463","borderline","Stormlands",85.33,79.94
"30","Franc Bartoletti","Chartered public finance accountant","(989)774-3952x450","acceptable","Dorne",-13.76,15.3
